,cena,forma_wlasnosci,liczba_pieter,liczba_pokoi,ogrzewanie,okna,pietro,powierzchnia,rodzaj_zabudowy,rok_budowy,rynek,stan_wykonczenia
114,279000.0,1,4.0,4,miejskie,plastikowe,4,74.0,blok,1970.0,wtorny,do_remontu
115,224500.0,0,4.0,2,miejskie,plastikowe,1,50.68,blok,1975.0,wtorny,do_zamieszkania
116,240000.0,0,10.0,2,miejskie,plastikowe,1,42.02,blok,,wtorny,do_remontu
117,229632.0,1,10.0,2,miejskie,plastikowe,5,35.88,apartamentowiec,,pierwotny,do_wykonczenia
118,229632.0,1,10.0,2,miejskie,plastikowe,6,35.88,apartamentowiec,,pierwotny,do_wykonczenia
119,247500.0,1,9.0,3,miejskie,plastikowe,8,62.44,blok,1986.0,wtorny,do_zamieszkania
120,248248.0,1,10.0,2,miejskie,plastikowe,5,40.04,apartamentowiec,,pierwotny,do_wykonczenia
121,259555.0,1,2.0,2,,,1,45.14,blok,,pierwotny,
122,525028.0,1,2.0,4,,,1,88.24,blok,,pierwotny,
123,245000.0,1,15.0,2,miejskie,plastikowe,&gt;_10,53.7,blok,,wtorny,do_remontu
124,299000.0,0,10.0,3,miejskie,,2,51.5,blok,,wtorny,do_zamieszkania
125,723633.0,1,7.0,4,,,7,77.81,,2020.0,pierwotny,
126,380000.0,1,,4,,,parter,104.0,,,wtorny,
127,490000.0,1,4.0,4,elektryczne,,2,106.0,blok,2002.0,wtorny,do_zamieszkania
128,699000.0,1,5.0,8,miejskie,drewniane,3,200.0,kamienica,1920.0,wtorny,do_remontu
129,540000.0,1,4.0,7,miejskie,drewniane,1,135.0,,,wtorny,do_remontu
130,324885.0,1,10.0,3,miejskie,,2,59.07,apartamentowiec,2019.0,pierwotny,do_wykonczenia
131,394200.0,1,5.0,3,miejskie,plastikowe,parter,72.0,apartamentowiec,,pierwotny,
132,145000.0,0,10.0,1,miejskie,plastikowe,10,25.5,blok,,wtorny,
133,324885.0,1,10.0,4,miejskie,,1,59.0,blok,2018.0,pierwotny,do_wykonczenia
134,230000.0,1,4.0,3,,,1,48.0,,,wtorny,
135,240624.0,1,10.0,3,miejskie,,5,44.56,blok,2018.0,pierwotny,do_wykonczenia
136,275500.0,1,,3,miejskie,plastikowe,3,63.0,blok,,wtorny,
137,289000.0,0,10.0,3,miejskie,plastikowe,8,52.1,blok,,wtorny,
138,280147.0,1,3.0,2,,,3,45.99,blok,2020.0,pierwotny,do_wykonczenia
139,299000.0,1,3.0,2,miejskie,plastikowe,1,59.15,kamienica,1935.0,wtorny,do_remontu
140,305220.0,1,4.0,3,miejskie,plastikowe,parter,50.87,apartamentowiec,2019.0,pierwotny,do_wykonczenia
141,215280.0,1,10.0,2,miejskie,,5,36.0,blok,2018.0,pierwotny,do_wykonczenia
142,281000.0,1,5.0,2,miejskie,,parter,46.3,blok,2019.0,pierwotny,do_wykonczenia
143,290000.0,1,10.0,3,miejskie,,10,57.0,blok,,wtorny,
144,139000.0,0,10.0,1,miejskie,plastikowe,1,31.72,,,wtorny,
145,265000.0,1,12.0,3,miejskie,plastikowe,1,58.0,blok,1979.0,wtorny,do_wykonczenia
146,235000.0,1,4.0,3,miejskie,plastikowe,4,46.48,blok,1970.0,wtorny,do_zamieszkania
147,247442.0,1,4.0,2,miejskie,plastikowe,parter,39.91,apartamentowiec,2019.0,pierwotny,do_wykonczenia
148,307044.0,1,,2,,,,41.65,blok,2019.0,pierwotny,
149,271000.0,1,5.0,2,miejskie,,parter,45.2,blok,2019.0,pierwotny,do_wykonczenia
150,320233.0,1,,3,miejskie,,,51.99,blok,2019.0,pierwotny,
151,268299.0,1,,3,,,,44.79,blok,2019.0,pierwotny,
152,275000.0,0,2.0,2,miejskie,,parter,45.9,blok,,wtorny,
153,328016.0,1,3.0,3,miejskie,plastikowe,3,63.08,apartamentowiec,,pierwotny,do_wykonczenia
154,330000.0,1,18.0,2,miejskie,plastikowe,&gt;_10,53.0,blok,,wtorny,
155,247104.0,1,3.0,2,miejskie,plastikowe,2,47.52,apartamentowiec,2018.0,pierwotny,do_wykonczenia
156,370000.0,0,13.0,3,miejskie,plastikowe,&gt;_10,59.0,blok,,wtorny,do_zamieszkania
157,970000.0,1,,5,miejskie,plastikowe,4,136.5,apartamentowiec,2020.0,pierwotny,do_wykonczenia
158,290500.0,1,5.0,2,miejskie,,parter,51.42,apartamentowiec,2019.0,pierwotny,do_wykonczenia
159,270565.0,1,10.0,3,miejskie,,1,49.0,blok,2018.0,pierwotny,do_wykonczenia
160,400368.0,1,5.0,3,miejskie,,2,70.24,blok,2019.0,pierwotny,do_wykonczenia
161,521136.0,1,7.0,3,,,7,55.44,,2020.0,pierwotny,
162,273418.0,1,10.0,3,miejskie,,2,50.47,blok,2018.0,pierwotny,do_wykonczenia
163,89000.0,0,8.0,1,miejskie,plastikowe,8,16.1,blok,1980.0,wtorny,do_zamieszkania
164,281626.0,1,10.0,3,miejskie,,1,52.0,blok,2018.0,pierwotny,do_wykonczenia
165,223020.0,1,10.0,2,miejskie,,4,41.0,blok,2019.0,wtorny,do_wykonczenia
166,316904.0,1,8.0,2,miejskie,plastikowe,parter,40.37,apartamentowiec,,pierwotny,do_wykonczenia
167,382000.0,0,8.0,3,,plastikowe,1,66.0,blok,,wtorny,
168,304900.0,1,,2,miejskie,plastikowe,&gt;_10,61.19,blok,,wtorny,do_wykonczenia
169,213000.0,1,10.0,2,miejskie,,1,36.5,blok,2018.0,pierwotny,do_wykonczenia
170,320705.0,1,8.0,2,miejskie,plastikowe,2,41.65,apartamentowiec,,pierwotny,do_wykonczenia
171,333645.0,1,8.0,2,miejskie,plastikowe,1,46.02,apartamentowiec,,pierwotny,do_wykonczenia
172,290823.0,1,3.0,2,,,1,47.48,blok,2020.0,pierwotny,do_wykonczenia
173,375000.0,0,18.0,3,,,&gt;_10,72.0,blok,,wtorny,do_zamieszkania
174,650370.0,1,3.0,4,,,parter,92.91,apartamentowiec,2020.0,pierwotny,do_wykonczenia
175,273418.0,1,10.0,3,miejskie,,2,50.47,blok,2018.0,pierwotny,do_wykonczenia
176,318370.0,1,8.0,2,miejskie,plastikowe,3,40.3,apartamentowiec,,pierwotny,do_wykonczenia
177,470000.0,1,2.0,5,elektryczne,,2,160.0,kamienica,1930.0,wtorny,do_remontu
178,228000.0,1,4.0,2,miejskie,plastikowe,2,41.29,apartamentowiec,2020.0,wtorny,do_wykonczenia
179,349999.0,0,4.0,3,miejskie,,parter,58.7,blok,1980.0,wtorny,do_zamieszkania
180,605190.0,1,,4,,,parter,103.0,,2018.0,pierwotny,
181,278999.0,1,8.0,4,miejskie,plastikowe,7,75.0,blok,,wtorny,do_zamieszkania
182,365000.0,1,10.0,4,miejskie,plastikowe,6,74.0,blok,2002.0,wtorny,
183,315000.0,1,2.0,3,,,1,74.6,,,wtorny,
184,321750.0,1,2.0,3,,,parter,55.0,blok,,pierwotny,
185,275354.0,1,2.0,2,,,parter,45.14,blok,,pierwotny,
186,355000.0,1,6.0,2,miejskie,aluminiowe,3,34.11,apartamentowiec,2019.0,pierwotny,do_wykonczenia
187,165000.0,1,2.0,2,inne,plastikowe,2,43.0,kamienica,,wtorny,do_zamieszkania
188,285000.0,1,4.0,1,miejskie,plastikowe,1,48.2,kamienica,,wtorny,do_zamieszkania
189,355000.0,1,6.0,2,miejskie,aluminiowe,3,34.0,apartamentowiec,2019.0,pierwotny,do_wykonczenia
190,355000.0,1,6.0,2,miejskie,aluminiowe,3,34.46,apartamentowiec,2019.0,pierwotny,do_wykonczenia
191,355000.0,1,6.0,2,miejskie,aluminiowe,6,33.0,apartamentowiec,2019.0,pierwotny,do_wykonczenia
192,355000.0,1,6.0,2,miejskie,aluminiowe,5,33.0,apartamentowiec,2019.0,pierwotny,do_wykonczenia
193,278040.0,1,2.0,2,miejskie,plastikowe,1,39.72,apartamentowiec,2018.0,wtorny,do_wykonczenia
194,725000.0,1,6.0,4,miejskie,plastikowe,6,78.0,apartamentowiec,,wtorny,do_zamieszkania
195,274000.0,1,4.0,3,miejskie,plastikowe,4,48.91,blok,2019.0,wtorny,do_wykonczenia
196,265500.0,1,,2,miejskie,plastikowe,parter,41.48,apartamentowiec,,pierwotny,do_wykonczenia
197,243000.0,1,10.0,3,miejskie,plastikowe,6,45.0,apartamentowiec,2019.0,pierwotny,
198,279981.0,1,4.0,2,miejskie,plastikowe,1,47.86,blok,2019.0,pierwotny,do_wykonczenia
199,303088.0,1,4.0,2,miejskie,plastikowe,1,51.81,apartamentowiec,2019.0,pierwotny,do_wykonczenia
200,380000.0,1,2.0,3,miejskie,drewniane,parter,89.0,dom_wolnostojacy,1906.0,wtorny,do_wykonczenia
201,365000.0,1,,3,miejskie,plastikowe,3,50.0,apartamentowiec,,pierwotny,
202,260000.0,0,10.0,3,miejskie,plastikowe,5,62.0,blok,,wtorny,do_zamieszkania
203,216000.0,1,10.0,2,,plastikowe,6,37.0,apartamentowiec,,pierwotny,
204,269000.0,0,4.0,2,,plastikowe,1,54.0,blok,,pierwotny,
205,497308.0,1,4.0,3,miejskie,plastikowe,1,85.01,blok,2019.0,pierwotny,do_wykonczenia
206,390000.0,1,1.0,3,,plastikowe,parter,100.0,dom_wolnostojacy,,wtorny,
207,276055.0,1,5.0,2,miejskie,plastikowe,4,40.3,apartamentowiec,,pierwotny,do_wykonczenia
208,340534.0,1,5.0,3,miejskie,plastikowe,4,51.99,apartamentowiec,,pierwotny,do_wykonczenia
209,343875.0,1,5.0,3,miejskie,plastikowe,4,52.5,apartamentowiec,,pierwotny,do_wykonczenia
210,272000.0,1,4.0,2,miejskie,,4,46.0,apartamentowiec,2019.0,pierwotny,do_wykonczenia
211,223000.0,1,10.0,2,miejskie,plastikowe,9,40.0,apartamentowiec,2019.0,pierwotny,
212,285723.0,1,10.0,3,miejskie,,3,53.9,apartamentowiec,2019.0,pierwotny,do_wykonczenia
213,199000.0,1,4.0,2,miejskie,plastikowe,1,43.0,blok,1970.0,wtorny,do_remontu
214,326075.0,1,4.0,3,miejskie,,1,61.0,apartamentowiec,2019.0,pierwotny,do_wykonczenia
215,310000.0,1,4.0,3,miejskie,plastikowe,4,60.57,blok,1988.0,wtorny,do_zamieszkania
216,560000.0,1,,4,miejskie,plastikowe,3,82.28,apartamentowiec,,pierwotny,do_wykonczenia
217,375260.0,1,4.0,3,miejskie,,1,71.8,apartamentowiec,2019.0,pierwotny,do_wykonczenia
218,285000.0,1,10.0,3,miejskie,plastikowe,10,53.0,apartamentowiec,2019.0,pierwotny,
219,229952.0,1,10.0,2,miejskie,,8,35.93,apartamentowiec,2019.0,pierwotny,do_wykonczenia
220,220480.0,1,4.0,1,miejskie,,3,34.45,blok,,pierwotny,do_wykonczenia
221,223925.0,1,4.0,1,miejskie,,parter,34.45,blok,,pierwotny,do_wykonczenia
222,334274.0,1,4.0,2,miejskie,,4,54.46,blok,,pierwotny,do_wykonczenia
223,350000.0,1,8.0,4,,,6,70.0,,,wtorny,
224,213590.0,1,4.0,1,miejskie,,1,34.45,blok,,pierwotny,do_wykonczenia
225,144001.0,1,5.0,1,miejskie,,parter,31.0,apartamentowiec,2019.0,pierwotny,do_wykonczenia
226,396000.0,1,3.0,2,inne,plastikowe,1,60.0,apartamentowiec,,wtorny,do_zamieszkania
227,259000.0,0,10.0,3,miejskie,plastikowe,7,55.7,blok,1980.0,wtorny,do_zamieszkania
228,409563.0,1,4.0,3,miejskie,,parter,65.01,blok,,pierwotny,do_wykonczenia
229,293760.0,1,2.0,2,miejskie,,,45.9,apartamentowiec,2018.0,wtorny,do_wykonczenia
230,315000.0,1,10.0,4,miejskie,,9,72.12,blok,1980.0,wtorny,
231,247000.0,1,5.0,2,miejskie,,1,34.02,blok,,wtorny,do_wykonczenia
232,159000.0,1,4.0,2,miejskie,plastikowe,1,37.0,blok,,wtorny,do_zamieszkania
233,396000.0,1,,2,gazowe,plastikowe,1,60.0,apartamentowiec,,wtorny,do_zamieszkania
234,295000.0,1,10.0,3,miejskie,plastikowe,8,61.0,blok,,wtorny,do_zamieszkania
235,240918.0,1,3.0,2,,,parter,38.99,blok,2020.0,pierwotny,
236,293377.0,1,3.0,2,,,3,47.48,blok,2020.0,pierwotny,do_wykonczenia
237,385000.0,1,13.0,3,inne,plastikowe,7,60.0,blok,,wtorny,do_zamieszkania
238,550000.0,1,3.0,4,miejskie,plastikowe,2,147.0,kamienica,1914.0,wtorny,do_wykonczenia
239,449000.0,1,3.0,3,,plastikowe,1,95.52,kamienica,,wtorny,do_zamieszkania
241,355000.0,1,10.0,4,miejskie,plastikowe,8,69.5,blok,,wtorny,do_zamieszkania
242,160000.0,1,10.0,1,miejskie,plastikowe,1,22.0,blok,1976.0,wtorny,do_zamieszkania
