,cena,cena_za_od,czynsz,dostepne_od,forma_wlasnosci,liczba_kondygnacji,liczba_pieter,liczba_pokoi,material_budynku,metraz_do,metraz_od,ogrzewanie,okna,pietro,powierzchnia,rodzaj_zabudowy,rok_budowy,rynek,stan_inwestycji,stan_wykonczenia,typ_oferowanych_nieruchomosci,url
34,471148.0,,,,pelna_wlasnosc,,7,2,,,,,,7,49.84,,2021,pierwotny,,,,https://www.otodom.pl/oferta/dwupokojowe-w-centrum-z-balkonem-ID3WZ5a.html#d749d73d2a
35,347759.0,,,,pelna_wlasnosc,,5,3,pustak,,,miejskie,plastikowe,parter,54.71,apartamentowiec,,pierwotny,,do_wykonczenia,,https://www.otodom.pl/oferta/3-pokoje-z-ogrodkiem-z-miejscem-w-hali-garazowej-ID3YvVk.html#7856e860dd
36,205000.0,,530.0,,spoldzielcze_wlasnosciowe,,4,2,cegla,,,miejskie,plastikowe,parter,38.0,blok,,wtorny,,,,https://www.otodom.pl/oferta/dabrowka-mala-38m2-ID3Yvdy.html#7856e860dd
37,299900.0,,,,spoldzielcze_wl._z_kw,,10,3,,,,miejskie,plastikowe,1,61.0,blok,,wtorny,,do_zamieszkania,,https://www.otodom.pl/oferta/mieszkanie-61m2-3pokoje-katowice-ID3YvGY.html#7856e860dd
38,542448.0,,,,pelna_wlasnosc,,7,3,,,,,,5,55.96,,2021,pierwotny,,,,https://www.otodom.pl/oferta/ustawne-3-pokojowe-w-srodmiesciu-z-balkonem-ID3WZ5i.html#d749d73d2a
39,386161.0,,,,pelna_wlasnosc,,5,4,pustak,,,miejskie,plastikowe,5,59.87,apartamentowiec,2019,pierwotny,,do_wykonczenia,,https://www.otodom.pl/oferta/katowice4pokoje-rata-kredytu-od-1370zl-ID3Yx64.html#7856e860dd
40,308000.0,,,,pelna_wlasnosc,,,2,pustak,,,miejskie,plastikowe,1,55.0,apartamentowiec,2018,wtorny,,do_zamieszkania,,https://www.otodom.pl/oferta/mieszkanie-gotowe-bez-prowizji-bezposrednio-0-pcc-ID3YxyI.html#7856e860dd
41,375000.0,,,,pelna_wlasnosc,,2,2,,,,kotlownia,plastikowe,1,60.0,apartamentowiec,2006,wtorny,,do_zamieszkania,,https://www.otodom.pl/oferta/mieszkanie-60m2-brynow-osiedle-pastelowe-ID3YxKY.html#7856e860dd
42,560000.0,,,,,,,4,,,,miejskie,plastikowe,3,82.28,,,pierwotny,,,,https://www.otodom.pl/oferta/nowe-ptasie-park-i-las-w-okolicy-blisko-centrum-ID3Yy00.html#7856e860dd
43,183183.0,,,,pelna_wlasnosc,,5,1,pustak,,,miejskie,plastikowe,2,25.62,apartamentowiec,,pierwotny,,do_wykonczenia,,https://www.otodom.pl/oferta/kawalerka-z-balkonem-nowe-budownictwo-ID3YxlV.html#7856e860dd
44,412000.0,,,,,,5,3,,,,miejskie,,2,63.37,apartamentowiec,,pierwotny,,,,https://www.otodom.pl/oferta/nowe-ptasie-zielona-okolica-blisko-centrum-ID3Yy0I.html#7856e860dd
45,299000.0,,,,pelna_wlasnosc,,14,2,,,,,,&gt;_10,47.2,,,wtorny,,,,https://www.otodom.pl/oferta/atrakcyjne-mieszkanie-po-remoncie-katowice-centrum-ID3YxYE.html#7856e860dd
46,420000.0,,,,pelna_wlasnosc,,3,3,cegla,,,miejskie,plastikowe,parter,65.0,kamienica,,wtorny,,do_zamieszkania,,https://www.otodom.pl/oferta/m-4-katowice-centrum-os-paderewskiego-ID3YxzO.html#7856e860dd
47,356250.5,,,,,,7,1,,,,,,3,33.47,,2021,pierwotny,,,,https://www.otodom.pl/oferta/praktyczne-studio-w-srodmiesciu-z-tarasem-14m2-ID3WZ5q.html#d749d73d2a
48,263965.0,,,,pelna_wlasnosc,,5,2,pustak,,,miejskie,plastikowe,5,40.3,apartamentowiec,2019,pierwotny,,do_wykonczenia,,https://www.otodom.pl/oferta/biuro-sprzedazy-mieszkan-z-rynku-pierwotnego-ID3YvSU.html#7856e860dd
