,cena,forma_wlasnosci,liczba_pieter,liczba_pokoi,okna,powierzchnia,rodzaj_zabudowy,rok_budowy,rynek,stan_wykonczenia,cena_mkw_PLN
182,315000.0,1,1,3,0,74.6,0,3,2,0,4222.520107238606
183,321750.0,1,1,3,0,55.0,2,1,1,0,5850.0
184,275354.0,1,1,2,0,45.14,2,1,1,0,6100.0
185,355000.0,1,2,2,2,34.11,1,1,1,1,10407.505130460277
186,165000.0,1,1,2,1,43.0,3,3,2,2,3837.2093023255816
187,285000.0,1,1,1,1,48.2,3,3,2,2,5912.863070539419
188,355000.0,1,2,2,2,34.0,1,1,1,1,10441.176470588236
189,355000.0,1,2,2,2,34.46,1,1,1,1,10301.799187463726
190,355000.0,1,2,2,2,33.0,1,1,1,1,10757.575757575758
191,355000.0,1,2,2,2,33.0,1,1,1,1,10757.575757575758
192,278040.0,1,1,2,1,39.72,1,1,2,1,7000.0
193,725000.0,1,2,4,1,78.0,1,3,2,2,9294.871794871795
194,274000.0,1,1,3,1,48.91,2,1,2,1,5602.126354528727
195,265500.0,1,1,2,1,41.48,1,1,1,1,6400.675024108004
196,243000.0,1,2,3,1,45.0,1,1,1,0,5400.0
197,279981.0,1,1,2,1,47.86,2,1,1,1,5850.0
198,303088.0,1,1,2,1,51.81,1,1,1,1,5849.990349353407
199,380000.0,1,1,3,2,89.0,4,5,2,1,4269.662921348315
200,365000.0,1,1,3,1,50.0,1,1,1,0,7300.0
201,260000.0,0,2,3,1,62.0,2,3,2,2,4193.548387096775
202,216000.0,1,2,2,1,37.0,1,1,1,0,5837.8378378378375
203,269000.0,0,1,2,1,54.0,2,1,1,0,4981.481481481482
204,497308.0,1,1,3,1,85.01,2,1,1,1,5849.994118339018
205,390000.0,1,1,3,1,100.0,4,3,2,0,3900.0
206,276055.0,1,1,2,1,40.3,1,1,1,1,6850.000000000001
207,340534.0,1,1,3,1,51.99,1,1,1,1,6549.990382765916
208,343875.0,1,1,3,1,52.5,1,1,1,1,6550.0
209,272000.0,1,1,2,0,46.0,1,1,1,1,5913.04347826087
210,223000.0,1,2,2,1,40.0,1,1,1,0,5575.0
211,285723.0,1,2,3,0,53.9,1,1,1,1,5300.983302411874
